NodeID LeftNode RightNode FeatureId Threshold
0 1 26 36 0.5
1 2 13 42 7.5
2 3 8 21 7.0
3 4 7 28 5.5
4 5 6 45 5.0
5 -5 -5 -2 -2.0
6 -5 -5 -2 -2.0
7 -5 -5 -2 -2.0
8 9 12 6 12.5
9 10 11 27 1.5
10 -5 -5 -2 -2.0
11 -5 -5 -2 -2.0
12 -5 -5 -2 -2.0
13 14 21 21 0.5
14 15 20 30 2.5
15 16 17 2 4.5
16 -5 -5 -2 -2.0
17 18 19 33 1.0
18 -5 -5 -2 -2.0
19 -5 -5 -2 -2.0
20 -5 -5 -2 -2.0
21 22 23 28 4.5
22 -5 -5 -2 -2.0
23 24 25 20 9.0
24 -5 -5 -2 -2.0
25 -5 -5 -2 -2.0
26 27 154 26 9.5
27 28 45 53 0.5
28 29 38 19 10.5
29 30 33 37 0.5
30 31 32 26 0.5
31 -5 -5 -2 -2.0
32 -5 -5 -2 -2.0
33 34 35 63 0.5
34 -5 -5 -2 -2.0
35 36 37 46 11.5
36 -5 -5 -2 -2.0
37 -5 -5 -2 -2.0
38 39 40 2 5.5
39 -5 -5 -2 -2.0
40 41 42 43 12.0
41 -5 -5 -2 -2.0
42 43 44 5 2.5
43 -5 -5 -2 -2.0
44 -5 -5 -2 -2.0
45 46 85 43 1.5
46 47 72 29 13.5
47 48 69 34 9.0
48 49 62 19 13.5
49 50 61 18 15.5
50 51 60 62 14.0
51 52 55 12 1.0
52 53 54 44 6.5
53 -5 -5 -2 -2.0
54 -5 -5 -2 -2.0
55 56 57 18 13.5
56 -5 -5 -2 -2.0
57 58 59 20 3.5
58 -5 -5 -2 -2.0
59 -5 -5 -2 -2.0
60 -5 -5 -2 -2.0
61 -5 -5 -2 -2.0
62 63 68 61 12.0
63 64 67 13 14.5
64 65 66 53 13.0
65 -5 -5 -2 -2.0
66 -5 -5 -2 -2.0
67 -5 -5 -2 -2.0
68 -5 -5 -2 -2.0
69 70 71 44 5.5
70 -5 -5 -2 -2.0
71 -5 -5 -2 -2.0
72 73 74 3 3.5
73 -5 -5 -2 -2.0
74 75 80 26 1.0
75 76 77 30 5.5
76 -5 -5 -2 -2.0
77 78 79 19 3.5
78 -5 -5 -2 -2.0
79 -5 -5 -2 -2.0
80 81 82 10 3.5
81 -5 -5 -2 -2.0
82 83 84 41 1.5
83 -5 -5 -2 -2.0
84 -5 -5 -2 -2.0
85 86 105 27 9.5
86 87 96 38 0.5
87 88 95 25 7.0
88 89 94 50 0.5
89 90 91 51 9.0
90 -5 -5 -2 -2.0
91 92 93 60 14.5
92 -5 -5 -2 -2.0
93 -5 -5 -2 -2.0
94 -5 -5 -2 -2.0
95 -5 -5 -2 -2.0
96 97 98 54 1.5
97 -5 -5 -2 -2.0
98 99 104 18 11.0
99 100 101 62 5.0
100 -5 -5 -2 -2.0
101 102 103 62 11.0
102 -5 -5 -2 -2.0
103 -5 -5 -2 -2.0
104 -5 -5 -2 -2.0
105 106 109 36 9.5
106 107 108 50 5.0
107 -5 -5 -2 -2.0
108 -5 -5 -2 -2.0
109 110 133 44 14.5
110 111 120 21 4.5
111 112 113 2 1.0
112 -5 -5 -2 -2.0
113 114 119 26 6.0
114 115 116 53 10.5
115 -5 -5 -2 -2.0
116 117 118 58 6.0
117 -5 -5 -2 -2.0
118 -5 -5 -2 -2.0
119 -5 -5 -2 -2.0
120 121 126 18 3.5
121 122 125 53 11.5
122 123 124 13 12.0
123 -5 -5 -2 -2.0
124 -5 -5 -2 -2.0
125 -5 -5 -2 -2.0
126 127 132 25 2.0
127 128 131 28 9.0
128 129 130 52 7.5
129 -5 -5 -2 -2.0
130 -5 -5 -2 -2.0
131 -5 -5 -2 -2.0
132 -5 -5 -2 -2.0
133 134 153 41 6.5
134 135 142 10 8.5
135 136 139 22 1.5
136 137 138 28 3.0
137 -5 -5 -2 -2.0
138 -5 -5 -2 -2.0
139 140 141 36 15.0
140 -5 -5 -2 -2.0
141 -5 -5 -2 -2.0
142 143 150 42 6.0
143 144 149 20 8.5
144 145 146 61 5.5
145 -5 -5 -2 -2.0
146 147 148 58 9.5
147 -5 -5 -2 -2.0
148 -5 -5 -2 -2.0
149 -5 -5 -2 -2.0
150 151 152 37 9.5
151 -5 -5 -2 -2.0
152 -5 -5 -2 -2.0
153 -5 -5 -2 -2.0
154 155 194 21 0.5
155 156 181 42 8.5
156 157 172 5 1.5
157 158 171 62 14.5
158 159 170 29 6.5
159 160 161 27 6.5
160 -5 -5 -2 -2.0
161 162 163 34 5.5
162 -5 -5 -2 -2.0
163 164 169 12 13.0
164 165 166 37 7.0
165 -5 -5 -2 -2.0
166 167 168 59 13.5
167 -5 -5 -2 -2.0
168 -5 -5 -2 -2.0
169 -5 -5 -2 -2.0
170 -5 -5 -2 -2.0
171 -5 -5 -2 -2.0
172 173 176 18 4.5
173 174 175 37 14.0
174 -5 -5 -2 -2.0
175 -5 -5 -2 -2.0
176 177 180 24 0.5
177 178 179 9 14.5
178 -5 -5 -2 -2.0
179 -5 -5 -2 -2.0
180 -5 -5 -2 -2.0
181 182 193 54 1.5
182 183 188 37 5.5
183 184 185 45 2.5
184 -5 -5 -2 -2.0
185 186 187 49 2.5
186 -5 -5 -2 -2.0
187 -5 -5 -2 -2.0
188 189 190 44 7.5
189 -5 -5 -2 -2.0
190 191 192 33 2.5
191 -5 -5 -2 -2.0
192 -5 -5 -2 -2.0
193 -5 -5 -2 -2.0
194 195 252 33 3.5
195 196 233 20 15.5
196 197 212 43 3.5
197 198 205 28 6.0
198 199 204 14 6.0
199 200 201 53 15.5
200 -5 -5 -2 -2.0
201 202 203 44 8.5
202 -5 -5 -2 -2.0
203 -5 -5 -2 -2.0
204 -5 -5 -2 -2.0
205 206 211 42 9.0
206 207 210 21 7.0
207 208 209 11 8.5
208 -5 -5 -2 -2.0
209 -5 -5 -2 -2.0
210 -5 -5 -2 -2.0
211 -5 -5 -2 -2.0
212 213 222 60 7.5
213 214 217 4 7.5
214 215 216 1 0.5
215 -5 -5 -2 -2.0
216 -5 -5 -2 -2.0
217 218 219 17 4.0
218 -5 -5 -2 -2.0
219 220 221 18 9.0
220 -5 -5 -2 -2.0
221 -5 -5 -2 -2.0
222 223 226 21 4.5
223 224 225 10 9.0
224 -5 -5 -2 -2.0
225 -5 -5 -2 -2.0
226 227 230 28 4.5
227 228 229 17 3.0
228 -5 -5 -2 -2.0
229 -5 -5 -2 -2.0
230 231 232 46 10.5
231 -5 -5 -2 -2.0
232 -5 -5 -2 -2.0
233 234 243 9 0.5
234 235 238 52 3.0
235 236 237 3 12.5
236 -5 -5 -2 -2.0
237 -5 -5 -2 -2.0
238 239 242 28 7.0
239 240 241 3 4.0
240 -5 -5 -2 -2.0
241 -5 -5 -2 -2.0
242 -5 -5 -2 -2.0
243 244 251 17 6.5
244 245 246 34 6.5
245 -5 -5 -2 -2.0
246 247 248 36 10.0
247 -5 -5 -2 -2.0
248 249 250 43 8.0
249 -5 -5 -2 -2.0
250 -5 -5 -2 -2.0
251 -5 -5 -2 -2.0
252 253 266 27 14.5
253 254 259 13 14.0
254 255 256 5 12.0
255 -5 -5 -2 -2.0
256 257 258 27 4.0
257 -5 -5 -2 -2.0
258 -5 -5 -2 -2.0
259 260 261 22 0.5
260 -5 -5 -2 -2.0
261 262 265 12 13.0
262 263 264 29 8.0
263 -5 -5 -2 -2.0
264 -5 -5 -2 -2.0
265 -5 -5 -2 -2.0
266 267 270 38 1.0
267 268 269 12 8.0
268 -5 -5 -2 -2.0
269 -5 -5 -2 -2.0
270 271 274 21 11.5
271 272 273 3 12.0
272 -5 -5 -2 -2.0
273 -5 -5 -2 -2.0
274 275 276 4 13.0
275 -5 -5 -2 -2.0
276 -5 -5 -2 -2.0
